Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.000000,0.000000,1.075864,-0.000000,-0.000000,-50.489851
0.010000,0.075387,0.701479,-1.435240,-21.180776,-58.150196
0.020000,0.109479,0.117689,-4.549670,-28.294027,-42.073312
0.030000,0.095597,-0.402680,-7.585461,-21.093766,-12.910533
0.040000,0.048934,-0.635485,-9.162723,-5.517522,13.666466
0.050000,-0.003664,-0.536538,-8.815098,9.914195,26.571645
0.060000,-0.035416,-0.160979,-7.055028,17.679932,19.448085
0.070000,-0.040855,0.089415,-4.916600,17.173157,9.371871
0.080000,-0.033215,0.148892,-3.105321,13.069819,3.901124
0.090000,-0.026442,0.067006,-1.765722,9.698177,5.391719
0.100000,-0.028257,-0.058637,-0.658107,9.135327,11.839268
0.110000,-0.037386,-0.117805,0.530512,10.685222,17.627203
0.120000,-0.043528,-0.015511,1.867775,11.190555,14.840845
0.130000,-0.033197,0.233135,2.987693,6.971432,-0.318347
0.140000,-0.002260,0.444863,3.249740,-2.571617,-20.611699
0.150000,0.036398,0.418017,2.251937,-13.171480,-32.244915
0.160000,0.062497,0.168444,0.246190,-18.995392,-29.179724
0.170000,0.066847,-0.080892,-2.022742,-18.031395,-18.836906
0.180000,0.056427,-0.173775,-3.887972,-13.040258,-10.918995
0.190000,0.041406,-0.174973,-5.090112,-7.331559,-5.804250
0.200000,0.023792,-0.208204,-5.605478,-1.532104,1.643889
0.210000,0.001273,-0.267475,-5.380511,4.998723,11.924518
0.220000,-0.024644,-0.278942,-4.347220,11.740485,21.070261
0.230000,-0.049789,-0.246830,-2.558122,17.494892,27.890207
0.240000,-0.072653,-0.223907,-0.161084,21.956845,34.367068
0.250000,-0.093362,-0.202604,2.701556,25.307114,40.199971
0.260000,-0.109786,-0.141748,5.872450,27.063413,42.751987
0.270000,-0.118922,-0.055388,9.114453,26.562022,41.687577
0.280000,-0.120308,0.015761,12.157048,23.935304,38.774519
0.290000,-0.114896,0.076178,14.777977,19.690873,34.128967
0.300000,-0.103147,0.134653,16.804124,14.140124,27.496130
0.310000,-0.087709,0.141744,18.127408,8.185266,22.083151
0.320000,-0.075121,0.058953,18.814415,3.721889,21.881372
0.330000,-0.070481,-0.051463,19.136922,2.007473,25.662061
0.340000,-0.071886,-0.094445,19.387127,2.178606,28.309885
0.350000,-0.073389,-0.064511,19.670931,2.345675,27.567889
0.360000,-0.071608,-0.022237,19.916048,1.566269,25.147417
0.370000,-0.066617,0.007380,20.012558,-0.027590,22.250489
0.380000,-0.059084,0.032380,19.881876,-2.156737,18.726063
0.390000,-0.050060,0.039859,19.480348,-4.462381,15.531762
0.400000,-0.040879,0.034955,18.813091,-6.549455,12.871352
0.410000,-0.029299,0.086954,17.875744,-9.086027,6.739351
0.420000,-0.008220,0.239800,16.495698,-14.029724,-7.303735
0.430000,0.027399,0.415019,14.295665,-22.515316,-27.254156
0.440000,0.073855,0.495573,10.922477,-33.078891,-46.370011
0.450000,0.121944,0.464830,6.305540,-42.888604,-60.790520
0.460000,0.163980,0.372448,0.678032,-49.871924,-70.288494
0.470000,0.194161,0.221289,-5.534727,-52.713449,-73.078282
0.480000,0.206515,0.005937,-11.756920,-50.197457,-66.931180
0.490000,0.199323,-0.184104,-17.336379,-42.460383,-55.497592
0.500000,0.179903,-0.238425,-21.797065,-32.173823,-46.427394
0.510000,0.158607,-0.188479,-25.044135,-22.537941,-41.710246
0.520000,0.138126,-0.172340,-27.223270,-14.214418,-35.751932
0.530000,0.113355,-0.242439,-28.398601,-5.607844,-24.366952
0.540000,0.080890,-0.320461,-28.462620,4.195470,-10.083798
0.550000,0.043823,-0.333714,-27.323611,14.176671,2.655817
0.560000,0.008235,-0.279977,-25.071431,22.600970,11.722102
0.570000,-0.019673,-0.161515,-21.995016,27.896838,15.162937
0.580000,-0.033618,0.023516,-18.561795,28.647309,10.811434
0.590000,-0.030431,0.210477,-15.354217,24.483643,0.664743
0.600000,-0.014599,0.296407,-12.863757,17.243481,-8.921886
0.610000,0.004004,0.257714,-11.262754,10.061621,-13.528323
0.620000,0.017328,0.156828,-10.387793,5.189319,-13.399218
0.630000,0.021741,0.038878,-9.904182,3.381982,-9.454194
0.640000,0.015961,-0.083488,-9.440088,4.651678,-1.876777
0.650000,0.001781,-0.159862,-8.671662,8.137365,6.353045
0.660000,-0.014239,-0.135860,-7.458436,11.730151,10.478849
0.670000,-0.025588,-0.059337,-5.914777,13.591199,10.570983
0.680000,-0.032758,-0.038517,-4.245814,14.073353,11.884799
0.690000,-0.041211,-0.089074,-2.510718,14.873930,16.991124
0.700000,-0.053526,-0.136850,-0.613907,16.671649,23.272159
0.710000,-0.069055,-0.172531,1.547170,19.169326,30.070134
0.720000,-0.090306,-0.268440,4.085051,23.006854,41.617889
0.730000,-0.122210,-0.417466,7.242217,29.420803,59.228658
0.740000,-0.163038,-0.489022,11.300858,37.610542,76.188041
0.750000,-0.201511,-0.393078,16.272066,44.181356,84.494940
0.760000,-0.225077,-0.179857,21.736121,45.786958,82.320440
0.770000,-0.227407,0.058704,27.001068,41.220985,71.889119
0.780000,-0.208269,0.271210,31.356193,31.124623,55.562665
0.790000,-0.172819,0.393341,34.258873,17.586720,38.102352
0.800000,-0.132852,0.347170,35.521054,4.334589,27.117137
0.810000,-0.101539,0.173350,35.421116,-4.959539,25.090088
0.820000,-0.081547,0.059251,34.486583,-10.022386,24.089222
0.830000,-0.061606,0.141033,33.013656,-14.531750,13.923590
0.840000,-0.028843,0.337442,30.816746,-22.163834,-5.909148
0.850000,0.016745,0.443694,27.507786,-32.531147,-25.789667
0.860000,0.061066,0.334482,23.012318,-41.332133,-35.117449
0.870000,0.086117,0.035826,17.839101,-43.674319,-29.105639
0.880000,0.081100,-0.319291,12.937223,-37.267095,-10.417560
0.890000,0.049470,-0.544903,9.264609,-24.105540,11.022784
