Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.000000,0.000000,28.339305,-0.000000,-0.000000,-1329.952395
0.010000,1.638046,11.430311,-32.677353,-458.736468,-1084.586181
0.020000,2.050481,-1.157869,-94.190931,-520.953441,-629.924032
0.030000,1.659964,-7.535258,-147.089528,-350.899779,-198.273525
0.040000,0.937138,-8.726275,-173.849295,-107.292245,99.904522
0.050000,0.235178,-6.744745,-172.916019,102.362580,240.813572
0.060000,-0.259456,-3.648020,-151.863112,229.699967,259.020755
0.070000,-0.510037,-0.944501,-120.916119,273.927190,213.601867
0.080000,-0.581988,0.511069,-88.423203,263.019636,167.053103
0.090000,-0.568226,0.922182,-58.891931,229.359874,141.195147
0.100000,-0.532119,0.822441,-33.651643,193.287326,132.270220
0.110000,-0.507200,0.455156,-12.324740,164.484751,140.052355
0.120000,-0.515596,-0.118013,6.322687,148.356064,168.980854
0.130000,-0.564507,-0.638112,23.897777,145.454338,209.225311
0.140000,-0.632796,-0.737790,41.573455,148.265320,236.395137
0.150000,-0.682035,-0.370655,59.304312,145.306168,235.423146
0.160000,-0.687924,0.118467,75.937297,130.439876,214.386586
0.170000,-0.654738,0.409551,90.149367,106.271941,189.781309
0.180000,-0.599183,0.509281,101.193418,78.561481,166.905872
0.190000,-0.530580,0.578105,108.864980,50.309031,141.335979
0.200000,-0.450690,0.653198,113.140253,22.066629,111.887051
0.210000,-0.362081,0.690856,114.058808,-5.434380,81.438946
0.220000,-0.266443,0.743784,111.743239,-31.810442,48.048327
0.230000,-0.159901,0.884255,106.261701,-58.291550,6.992249
0.240000,-0.041483,0.995085,97.563890,-85.118878,-36.582385
0.250000,0.074208,0.850485,85.837078,-108.099616,-67.218413
0.260000,0.162845,0.434076,71.955208,-120.808792,-76.048504
0.270000,0.211344,-0.005693,57.359220,-120.762281,-70.421651
0.280000,0.226106,-0.267979,43.408637,-111.240368,-61.972743
0.290000,0.220148,-0.387411,30.932143,-96.976522,-53.470661
0.300000,0.201858,-0.445468,20.299748,-80.857083,-43.906316
0.310000,0.178251,-0.415293,11.598631,-65.074026,-36.879345
0.320000,0.155728,-0.334922,4.668368,-51.386802,-32.726361
0.330000,0.129077,-0.413079,-0.668194,-38.055009,-19.880100
0.340000,0.081282,-0.724202,-4.153860,-20.230653,10.865718
0.350000,0.007966,-0.946594,-5.145960,2.756148,45.872637
0.360000,-0.062999,-0.676157,-3.498594,22.398371,56.844481
0.370000,-0.088515,0.067387,-0.376691,26.931131,30.321257
0.380000,-0.045623,0.873947,2.024564,11.662218,-22.048732
0.390000,0.055731,1.394761,1.588037,-18.307295,-80.480168
0.400000,0.185925,1.521374,-2.828462,-52.949000,-129.924890
0.410000,0.309150,1.238401,-11.105275,-81.639774,-157.689187
0.420000,0.392853,0.644359,-21.961622,-95.894423,-157.563973
0.430000,0.424706,0.083232,-33.483359,-93.928497,-141.658567
0.440000,0.422414,-0.107861,-44.101710,-82.622364,-131.803489
0.450000,0.412905,-0.023763,-53.266592,-70.604984,-132.595652
0.460000,0.401515,-0.049837,-61.059776,-59.394762,-127.722438
0.470000,0.374614,-0.276988,-67.339640,-45.044605,-108.338464
0.480000,0.329136,-0.414162,-71.645547,-27.095339,-87.078521
0.490000,0.279812,-0.325951,-73.815083,-10.128558,-75.226956
0.500000,0.235809,-0.239273,-74.164137,3.421326,-65.177397
0.510000,0.191421,-0.284390,-72.996827,15.570576,-48.872939
0.520000,0.145930,-0.254287,-70.422874,26.643801,-35.769711
0.530000,0.111909,-0.037394,-66.773314,33.200649,-35.294155
0.540000,0.093534,0.105432,-62.678804,34.618515,-36.570315
0.550000,0.075362,-0.020766,-58.472345,35.863749,-25.250599
0.560000,0.045813,-0.175970,-53.921958,40.177939,-8.723436
0.570000,0.016267,-0.074066,-48.838983,43.958878,-4.237808
0.580000,0.003358,0.163365,-43.606890,42.599579,-11.648204
0.590000,0.007115,0.286089,-38.849839,36.715253,-19.194670
0.600000,0.021532,0.368779,-34.957523,28.497813,-28.354573
0.610000,0.052218,0.596148,-32.264576,16.599283,-49.672018
0.620000,0.104609,0.822039,-31.311244,-0.071337,-78.100758
0.630000,0.164615,0.763829,-32.429155,-16.955202,-95.653142
0.640000,0.209813,0.480839,-35.224927,-27.719075,-97.626445
0.650000,0.233173,0.249925,-38.832115,-31.119838,-94.705432
0.660000,0.239022,0.086197,-42.494690,-29.211886,-89.089745
0.670000,0.223214,-0.202164,-45.569682,-21.394374,-70.414049
0.680000,0.176360,-0.576532,-47.211470,-5.696404,-37.371229
0.690000,0.101551,-0.814527,-46.547202,16.081963,-1.457210
0.700000,0.009290,-0.945365,-43.084933,40.297894,35.176053
0.710000,-0.101846,-1.198470,-36.561468,67.115140,83.786571
0.720000,-0.238524,-1.505080,-26.548920,98.106114,143.393649
0.730000,-0.386282,-1.489030,-12.773717,128.658379,191.512488
0.740000,-0.510756,-1.046767,4.107901,149.118784,211.815895
0.750000,-0.591275,-0.551089,22.516404,154.866058,214.957703
0.760000,-0.638191,-0.344604,40.918927,150.538400,220.564499
0.770000,-0.672220,-0.356087,58.565490,143.100518,232.272865
0.780000,-0.700575,-0.348276,75.275859,134.896750,241.367416
0.790000,-0.717346,-0.231669,90.870876,124.332991,241.662403
0.800000,-0.711817,0.020176,104.892985,108.652159,228.329743
0.810000,-0.669277,0.465006,116.505433,84.277534,193.743535
0.820000,-0.577833,0.998902,124.490707,48.859059,138.819033
0.830000,-0.444974,1.311126,127.682754,5.809433,80.665567
0.840000,-0.298366,1.244995,125.694307,-36.184534,35.888725
0.850000,-0.161826,1.018558,119.113763,-70.565980,2.173949
