Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.000000,0.000000,-33.325045,-0.000000,-0.000000,1563.931196
0.010000,-1.985354,-14.639598,39.298312,556.307922,1351.431739
0.020000,-2.572829,0.234045,115.417496,656.431100,847.684836
0.030000,-2.192146,8.196871,184.086140,473.557758,344.462539
0.040000,-1.390737,9.845948,223.370452,193.850735,-1.766200
0.050000,-0.588228,7.813364,230.397676,-53.929361,-173.902179
0.060000,-0.016980,4.148393,213.344774,-208.250834,-190.802883
0.070000,0.284337,1.279660,183.887564,-269.188628,-154.174184
0.080000,0.385729,-0.522785,151.352224,-267.070836,-100.675257
0.090000,0.369615,-1.329257,121.355005,-232.239617,-54.915618
0.100000,0.316148,-1.224974,96.122130,-190.966502,-39.851082
0.110000,0.288867,-0.546771,75.169783,-161.829953,-60.924081
0.120000,0.321667,0.328567,56.446305,-152.946346,-111.695684
0.130000,0.428709,1.285972,37.385408,-165.998143,-191.387137
0.140000,0.606434,2.065937,15.527821,-197.457968,-286.524067
0.150000,0.804818,1.947308,-10.420740,-231.024785,-346.452649
0.160000,0.926750,0.569861,-38.993895,-239.031010,-321.786727
0.170000,0.903302,-1.171074,-65.896414,-205.094273,-231.621318
0.180000,0.769623,-1.845548,-86.782491,-144.104503,-155.015692
0.190000,0.636585,-1.072070,-100.544524,-90.431109,-147.055528
0.200000,0.587204,0.216153,-109.676809,-66.484253,-191.624831
0.210000,0.618230,0.956782,-117.660290,-67.808648,-237.591598
0.220000,0.667094,0.792425,-126.273976,-73.854106,-247.108148
0.230000,0.664649,-0.084085,-134.760927,-64.633787,-206.064304
0.240000,0.574218,-1.126922,-140.635159,-31.630112,-127.872365
0.250000,0.421011,-1.498073,-141.523471,15.220146,-60.391172
0.260000,0.287888,-0.706504,-137.283227,50.916880,-54.420113
0.270000,0.250316,0.669652,-130.645369,55.550652,-107.984446
0.280000,0.306765,1.489462,-125.287122,33.257760,-166.853942
0.290000,0.390588,1.338976,-123.110742,5.934304,-189.177881
0.300000,0.443482,0.760213,-123.532829,-9.511662,-180.886618
0.310000,0.451361,0.263769,-124.868233,-10.539965,-161.310896
0.320000,0.420164,-0.141283,-125.593754,-0.455442,-132.940850
0.330000,0.360173,-0.389276,-124.628798,16.576956,-102.346644
0.340000,0.300252,-0.168578,-121.659644,31.584039,-93.833457
0.350000,0.278066,0.439905,-117.613753,34.194000,-116.182611
0.360000,0.298931,0.827140,-114.092636,24.413308,-142.520522
0.370000,0.328397,0.664138,-111.926341,13.407349,-145.821722
0.380000,0.333988,0.270903,-110.608490,10.412213,-130.242927
0.390000,0.310062,-0.038828,-109.077685,16.058950,-108.667024
0.400000,0.258618,-0.356051,-106.408688,28.823301,-77.530597
0.410000,0.177990,-0.693425,-101.768419,48.371347,-35.706211
0.420000,0.079379,-0.785958,-94.548167,70.734541,0.605721
0.430000,-0.017526,-0.676586,-84.794548,90.052321,26.839402
0.440000,-0.116590,-0.821312,-72.858363,107.835482,65.728101
0.450000,-0.241119,-1.258759,-58.495096,130.830802,126.910621
0.460000,-0.385648,-1.364020,-41.108032,156.802558,179.224429
0.470000,-0.505975,-0.839867,-21.113601,172.906102,193.935915
0.480000,-0.573108,-0.246429,-0.249424,172.181874,187.700160
0.490000,-0.601880,-0.045697,19.773636,160.790486,187.250735
0.500000,-0.605355,0.175260,38.057296,143.549309,177.620026
0.510000,-0.557313,0.910276,53.546673,113.647225,126.864121
0.520000,-0.430324,1.796847,64.249011,64.848128,42.849296
0.530000,-0.244357,2.151631,68.273856,5.033125,-35.623422
0.540000,-0.050336,1.898842,65.287725,-50.187040,-87.961868
0.550000,0.110126,1.318752,56.612998,-89.650801,-113.478188
0.560000,0.207969,0.465417,44.567373,-106.958149,-105.109169
0.570000,0.226842,-0.445527,31.988966,-100.041562,-67.637201
0.580000,0.193284,-0.722486,21.250906,-79.236163,-42.523673
0.590000,0.170694,-0.184088,12.801201,-64.009320,-59.548552
0.600000,0.179830,0.124398,5.454385,-59.403372,-76.552169
0.610000,0.156592,-0.717371,-0.980180,-45.997569,-28.822639
0.620000,0.040832,-1.882159,-4.272412,-7.977098,64.913158
0.630000,-0.116616,-1.736910,-2.286043,37.270904,110.905381
0.640000,-0.194824,-0.162721,3.617441,54.829634,63.112364
0.650000,-0.140722,1.311208,9.083235,33.133360,-24.288629
0.660000,-0.012550,1.605255,10.549421,-6.784466,-80.951551
0.670000,0.104387,1.062882,7.565428,-38.881380,-94.395003
0.680000,0.165572,0.302010,1.929232,-51.600688,-78.799025
0.690000,0.155359,-0.553934,-3.863528,-42.744085,-34.835323
0.700000,0.077462,-1.217237,-7.392345,-15.846170,22.646278
0.710000,-0.024483,-1.120744,-7.314523,14.659471,52.356760
0.720000,-0.094464,-0.486040,-4.278021,32.617125,45.964650
0.730000,-0.135857,-0.375421,0.180214,40.576923,54.545375
0.740000,-0.207428,-1.081509,5.949693,56.278656,111.561545
0.750000,-0.326688,-1.507091,14.411153,83.595321,171.351750
0.760000,-0.428363,-0.817193,25.832718,102.676236,172.847515
0.770000,-0.448454,0.279417,37.999199,96.536931,127.959216
0.780000,-0.403781,0.667627,48.176071,72.958364,94.779893
0.790000,-0.355422,0.338418,55.500947,51.125542,94.238366
0.800000,-0.336076,-0.082647,60.871769,39.951057,107.884070
0.810000,-0.349319,-0.472944,65.578846,39.216864,131.089120
0.820000,-0.397329,-0.906204,70.829403,48.369281,167.987161
0.830000,-0.462437,-0.931563,77.496468,61.234690,191.460758
0.840000,-0.493686,-0.238103,85.125909,62.980037,169.856197
0.850000,-0.460995,0.484981,91.796350,46.502096,125.513070
0.860000,-0.401279,0.405883,95.977622,24.406142,109.905272
0.870000,-0.368599,-0.149740,98.072877,12.506944,125.845429
0.880000,-0.361055,-0.268330,99.355067,8.961483,129.752138
0.890000,-0.339587,0.090488,100.064603,1.811545,106.610055
0.900000,-0.294216,0.280858,99.502478,-11.237641,83.404058
0.910000,-0.241462,0.261208,97.294931,-24.856412,67.630885
0.920000,-0.176942,0.499976,93.377043,-40.294524,35.825560
0.930000,-0.088411,0.794552,87.285449,-60.762225,-6.607538
0.940000,-0.005600,0.445988,78.873087,-77.193010,-16.907643
0.950000,0.022196,-0.386194,69.519703,-76.178554,13.897206
0.960000,-0.000778,-0.720360,61.286946,-61.053546,38.223506
0.970000,-0.018054,-0.270590,54.791544,-49.375378,23.695523
0.980000,0.003982,0.241376,48.910012,-50.104635,-7.029526
0.990000,0.055833,0.484582,42.356355,-59.106175,-35.174565
1.000000,0.141671,1.006011,34.212257,-76.713691,-87.775331
1.010000,0.292915,1.942246,22.955991,-110.830593,-181.730620
1.020000,0.504808,2.448019,6.663159,-158.105602,-275.724918
1.030000,0.714845,2.019972,-15.103466,-199.350125,-325.194863
1.040000,0.873757,1.354148,-40.648816,-221.478398,-346.395109
1.050000,0.993861,1.180727,-67.912703,-230.245553,-377.841448
1.060000,1.099425,1.157684,-95.884775,-233.942654,-411.680226
1.070000,1.173778,0.695513,-123.788943,-228.344548,-414.690992
1.080000,1.190631,0.056149,-150.051492,-207.137885,-390.408919
1.090000,1.158835,-0.245673,-172.980948,-174.669560,-366.011986
1.100000,1.095890,-0.448500,-191.662235,-137.104644,-336.181893
1.110000,0.988231,-1.016330,-205.350165,-91.119238,-274.584649
1.120000,0.819264,-1.651775,-212.738967,-33.040265,-189.616262
1.130000,0.610979,-1.801283,-212.765789,29.472129,-114.617030
1.140000,0.394528,-1.725890,-205.538672,87.180124,-47.716012
1.150000,0.160408,-2.067098,-191.534990,143.412537,44.465385
1.160000,-0.115133,-2.611434,-170.451367,204.991309,159.924848
1.170000,-0.405671,-2.493943,-142.015253,263.716593,249.258733
1.180000,-0.642420,-1.538550,-107.768879,300.494868,281.258172
1.190000,-0.783606,-0.457607,-71.073007,306.154902,275.529486
1.200000,-0.837131,0.290084,-35.379235,286.518442,256.417033
1.210000,-0.818499,0.934288,-3.226462,248.776233,218.433896
1.220000,-0.731432,1.566399,23.420712,196.008919,158.585939
1.230000,-0.598226,1.757161,43.194922,136.272881,104.501271
1.240000,-0.467921,1.318343,56.166770,84.209398,81.396236
1.250000,-0.373465,0.749719,63.886329,48.153321,76.742608
1.260000,-0.304983,0.543319,68.065812,23.428949,64.016020
1.270000,-0.239814,0.560968,69.549650,2.394689,42.031830
1.280000,-0.177076,0.447323,68.677788,-15.555075,27.129298
1.290000,-0.128845,0.209416,66.019281,-27.365697,22.985207
1.300000,-0.098083,0.029558,62.352554,-32.927566,21.988425
1.310000,-0.082018,-0.120350,58.328562,-33.723296,24.491395
1.320000,-0.081651,-0.301948,54.493803,-29.998519,33.697420
1.330000,-0.091217,-0.334313,51.285221,-23.920077,39.165629
1.340000,-0.090993,-0.080413,48.633517,-21.335661,27.857805
1.350000,-0.069973,0.166410,45.893736,-24.901791,9.880554
1.360000,-0.049801,-0.031863,42.689831,-27.749528,13.064843
1.370000,-0.065753,-0.599099,39.757664,-20.031798,45.637089
1.380000,-0.118200,-0.870719,38.411489,-2.951478,76.482277
1.390000,-0.155987,-0.322849,38.868518,7.927647,63.860932
1.400000,-0.122979,0.710450,39.350039,-2.456373,4.709419
1.410000,-0.024626,1.217437,37.379383,-29.991709,-51.561071
1.420000,0.062099,0.548130,32.306893,-50.936469,-48.621255
1.430000,0.059472,-0.761811,26.381978,-44.223478,14.342339
1.440000,-0.028668,-1.441269,22.877434,-14.277142,76.246777
1.450000,-0.117527,-0.853562,22.985987,12.272038,78.741592
1.460000,-0.128734,0.321648,24.783079,13.837113,27.544608
1.470000,-0.065906,0.912290,25.311190,-5.539460,-20.988943
1.480000,-0.001237,0.453838,23.437050,-23.065815,-20.805074
1.490000,-0.006736,-0.640690,20.749524,-18.728576,32.781667
1.500000,-0.106272,-1.681702,20.271638,11.610002,115.283667
1.510000,-0.266336,-2.044976,24.439937,55.460839,186.084768
1.520000,-0.408007,-1.328704,33.415640,88.986401,199.889114
1.530000,-0.450235,0.152691,44.504623,90.565752,144.418527
1.540000,-0.379018,1.253693,53.646375,60.059070,68.921079
1.550000,-0.266634,1.128553,58.384224,21.606047,37.416514
1.560000,-0.190169,0.392147,59.325702,-2.275148,46.843294
1.570000,-0.140715,0.356862,58.178269,-15.963671,32.520043
1.580000,-0.053887,1.120485,54.938822,-38.772851,-31.760972
1.590000,0.075492,1.368896,48.258165,-70.905679,-86.028929
1.600000,0.164316,0.329676,38.462024,-87.756715,-66.201979
1.610000,0.144003,-1.061829,28.684022,-71.884991,6.674007
1.620000,0.045540,-1.488940,22.283632,-35.945500,60.276155
1.630000,-0.045621,-0.903823,19.983809,-6.297509,63.694000
1.640000,-0.080792,-0.145650,20.045900,4.191848,40.086292
1.650000,-0.063176,0.362603,20.290940,-1.338041,10.489312
1.660000,-0.011736,0.645176,19.257118,-15.736212,-19.809863
1.670000,0.042480,0.461306,16.465478,-29.209401,-29.088876
1.680000,0.050310,-0.348731,12.887429,-27.980471,6.583300
1.690000,-0.007362,-1.031119,10.660837,-8.452241,58.148258
1.700000,-0.068744,-0.530061,10.910059,9.713177,55.296017
1.710000,-0.038859,0.969969,11.722291,-0.064540,-25.075051
1.720000,0.101739,2.037260,9.341457,-39.863044,-122.138712
1.730000,0.272704,1.766375,1.680697,-83.491815,-166.393213
1.740000,0.386721,0.776258,-10.000548,-106.015729,-157.693458
1.750000,0.430976,0.144426,-22.901058,-106.391762,-142.459325
1.760000,0.445282,0.095860,-35.203396,-98.381111,-144.690446
1.770000,0.458645,0.200620,-46.560118,-91.033291,-153.949308
1.780000,0.473477,0.229743,-57.128723,-84.914447,-160.283965
1.790000,0.484202,0.196943,-66.944137,-78.316483,-162.457346
1.800000,0.478842,-0.034378,-75.757315,-67.895418,-150.043951
1.810000,0.436740,-0.529948,-82.771090,-48.250769,-113.052385
1.820000,0.355026,-0.872368,-86.819125,-19.688783,-70.140273
1.830000,0.270787,-0.579850,-87.485321,6.249264,-56.347114
1.840000,0.228280,0.097321,-85.913241,17.429187,-74.695923
1.850000,0.222675,0.338570,-83.822337,17.019798,-84.965849
1.860000,0.201952,-0.165942,-81.628895,21.043204,-55.144138
1.870000,0.135655,-0.706541,-78.156971,37.460495,-8.365720
1.880000,0.065195,-0.362451,-72.602002,53.043396,-1.755312
1.890000,0.069905,0.896305,-66.496031,45.524670,-63.249626
1.900000,0.185803,2.132832,-63.265236,7.524332,-160.817767
1.910000,0.365354,2.378047,-65.656231,-43.949848,-232.947236
1.920000,0.514636,1.486259,-73.509711,-80.881167,-241.352139
