Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.000000,0.000000,29.533834,-0.000000,-0.000000,-1386.011195
0.010000,2.072587,19.319847,-39.445262,-582.330911,-1600.316222
0.020000,3.144418,5.935981,-127.065587,-816.259735,-1328.484665
0.030000,3.185744,-4.638472,-221.928280,-733.794802,-843.280476
0.040000,2.584800,-8.823798,-294.721293,-480.718727,-444.216727
0.050000,1.835998,-7.679212,-335.326338,-215.473086,-247.659017
0.060000,1.363399,-2.193880,-350.242759,-58.776822,-348.874307
0.070000,1.363627,3.576568,-356.002458,-53.085694,-622.571928
0.080000,1.745381,6.921013,-368.474208,-155.140113,-910.146475
0.090000,2.194624,5.585687,-394.510161,-263.876978,-1000.258430
0.100000,2.341590,0.415080,-427.998220,-274.478763,-808.872469
0.110000,2.028197,-4.773114,-454.320774,-154.138339,-462.791269
0.120000,1.386696,-7.044725,-460.580028,44.571199,-144.547013
0.130000,0.662144,-6.547049,-442.394568,243.751392,70.565252
0.140000,0.032381,-4.711205,-403.183725,393.469451,190.410889
0.150000,-0.418820,-2.425375,-350.208956,475.854989,229.060406
0.160000,-0.679695,-0.461148,-291.423956,495.332343,219.230488
0.170000,-0.806679,0.446349,-233.037268,475.040951,214.658882
0.180000,-0.866117,0.743134,-178.262037,438.097256,216.796435
0.190000,-0.851725,1.623567,-128.893093,384.410550,167.522705
0.200000,-0.715558,3.024600,-87.707685,302.375081,53.775221
0.210000,-0.473152,3.700628,-57.841949,199.787607,-60.728505
0.220000,-0.201999,3.386414,-40.257491,100.857264,-137.612022
0.230000,0.048394,2.907152,-33.503070,18.984779,-199.167080
0.240000,0.251220,2.107683,-35.191720,-40.174362,-229.319197
0.250000,0.327217,0.041800,-41.476619,-56.688348,-157.313641
0.260000,0.196769,-2.552684,-45.963907,-13.066766,8.623856
0.270000,-0.089886,-3.612142,-42.417846,69.383713,154.554717
0.280000,-0.399416,-3.116202,-28.869050,148.693923,234.785193
0.290000,-0.705139,-3.337855,-6.541785,218.083516,347.172361
0.300000,-1.096945,-4.900376,24.974211,304.109269,551.181050
0.310000,-1.576484,-5.485449,67.986241,404.958922,738.555487
0.320000,-1.991388,-3.769179,121.626058,475.790349,796.191527
0.330000,-2.237178,-1.824446,180.249523,490.903976,786.644389
0.340000,-2.395278,-1.846185,238.667197,479.916084,840.489368
0.350000,-2.592093,-2.970726,296.374888,481.253051,959.614887
0.360000,-2.830973,-3.287125,355.151550,494.140458,1055.381009
0.370000,-3.040442,-2.758518,415.009095,497.123655,1102.083595
0.380000,-3.179809,-2.080420,473.969528,479.973190,1118.797902
0.390000,-3.208783,-0.735969,529.111282,433.523482,1067.861171
0.400000,-3.055543,1.515109,575.855158,340.807617,914.056173
0.410000,-2.721383,2.998451,608.707358,207.707404,736.539781
0.420000,-2.338895,2.382407,625.284723,76.383689,642.252984
0.430000,-2.021227,1.182532,628.100094,-21.732097,597.775079
0.440000,-1.710751,1.744748,620.254440,-107.029012,473.429150
0.450000,-1.267004,3.887145,600.607606,-220.506459,230.581679
0.460000,-0.652826,5.579638,564.949452,-369.101783,-47.894653
0.470000,0.038996,5.758102,510.812907,-522.511853,-280.975602
0.480000,0.675053,4.491779,440.087843,-642.603824,-427.399563
